station,wave,value,invivo,bias,bias.cor.insitu
OUT-F18,439,1.126574692,1.196377515,-6.196022642,1.196377515
OUT-F18,440,1.106987807,1.180375619,-6.629504999,1.180375619
OUT-F18,441,1.088238325,1.167285555,-7.263779283,1.167285555
OUT-F18,442,1.070693434,1.149558023,-7.365748822,1.149558023
OUT-F18,443,1.048233247,1.136253838,-8.397042476,1.136253838
OUT-F18,444,1.03982271,1.120188167,-7.72876532,1.120188167
OUT-F18,445,1.0252404,1.104124847,-7.694239029,1.104124847
OUT-F18,446,1.00376768,1.086050488,-8.197395636,1.086050488
OUT-F18,447,0.988912878,1.06735138,-7.931790934,1.06735138
OUT-F18,448,0.959382561,1.054303924,-9.894005463,1.054303924
OUT-F18,449,0.95721879,1.040441108,-8.694179311,1.040441108
OUT-F18,450,0.943806456,1.027437298,-8.861016098,1.027437298
OUT-F18,451,0.927216018,1.0121719,-9.162469193,1.0121719
OUT-F18,452,0.912368062,1.00053579,-9.663614025,1.00053579
OUT-F18,453,0.903330215,0.98846989,-9.425088809,0.98846989
OUT-F18,454,0.88894221,0.975977236,-9.790853108,0.975977236
OUT-F18,455,0.883914421,0.963837185,-9.041911988,0.963837185
OUT-F18,456,0.879868645,0.954001424,-8.425437072,0.954001424
OUT-F18,457,0.866125063,0.943299635,-8.910326614,0.943299635
OUT-F18,458,0.849708696,0.930544852,-9.513396342,0.930544852
OUT-F18,459,0.844752311,0.921403039,-9.073751797,0.921403039
OUT-F18,460,0.82303756,0.909755667,-10.53634867,0.909755667
OUT-F18,461,0.821162527,0.900024863,-9.603742671,0.900024863
OUT-F18,462,0.805341614,0.889012883,-10.3895375,0.889012883
OUT-F18,463,0.797366873,0.878648703,-10.19378065,0.878648703
OUT-F18,464,0.796086543,0.869342895,-9.202058827,0.869342895
OUT-F18,465,0.77652033,0.860012983,-10.75215288,0.860012983
OUT-F18,466,0.768480797,0.849252084,-10.51051468,0.849252084
OUT-F18,467,0.762051817,0.839051636,-10.10427602,0.839051636
OUT-F18,468,0.748676746,0.827902279,-10.58207476,0.827902279
OUT-F18,469,0.743452805,0.818612346,-10.10952417,0.818612346
OUT-F18,470,0.739521527,0.806930429,-9.115204837,0.806930429
OUT-F18,471,0.719355764,0.798184998,-10.95830991,0.798184998
OUT-F18,472,0.711496516,0.786743025,-10.5758085,0.786743025
OUT-F18,473,0.700872251,0.777385164,-10.916813,0.777385164
OUT-F18,474,0.694286173,0.767842021,-10.5944567,0.767842021
OUT-F18,475,0.67631164,0.7570791,-11.94234362,0.7570791
OUT-F18,476,0.677593656,0.749160696,-10.56194068,0.749160696
OUT-F18,477,0.668218507,0.740843617,-10.86846731,0.740843617
OUT-F18,478,0.657834688,0.730420936,-11.03411683,0.730420936
OUT-F18,479,0.652959649,0.722613769,-10.66744631,0.722613769
OUT-F18,480,0.639408245,0.71286725,-11.48859208,0.71286725
OUT-F18,481,0.633388918,0.707233125,-11.65858841,0.707233125
OUT-F18,482,0.62919656,0.69814163,-10.9576362,0.69814163
OUT-F18,483,0.621564487,0.690121119,-11.02968935,0.690121119
OUT-F18,484,0.615703152,0.683287503,-10.97677522,0.683287503
OUT-F18,485,0.607219332,0.67676081,-11.45244796,0.67676081
OUT-F18,486,0.604549128,0.668948283,-10.65242708,0.668948283
OUT-F18,487,0.596657565,0.662132547,-10.97362806,0.662132547
OUT-F18,488,0.592581317,0.655967178,-10.69656757,0.655967178
OUT-F18,489,0.586795417,0.649511931,-10.6879693,0.649511931
OUT-F18,490,0.575399451,0.641396385,-11.46975964,0.641396385
OUT-F18,491,0.572356647,0.632656912,-10.53543543,0.632656912
OUT-F18,492,0.566047669,0.627458645,-10.84908204,0.627458645
OUT-F18,493,0.563765696,0.624870158,-10.83862719,0.624870158
OUT-F18,494,0.555507746,0.615483506,-10.79656592,0.615483506
OUT-F18,495,0.549148676,0.609961613,-11.07403872,0.609961613
OUT-F18,496,0.544141913,0.604172376,-11.03213363,0.604172376
OUT-F18,497,0.538269266,0.59589425,-10.70560547,0.59589425
OUT-F18,498,0.530924381,0.589547139,-11.04163985,0.589547139
OUT-F18,499,0.522451036,0.579060048,-10.83527605,0.579060048
OUT-F18,500,0.51580811,0.573273379,-11.14082309,0.573273379
OUT-F18,501,0.511344729,0.564420985,-10.37974051,0.564420985
OUT-F18,502,0.503605902,0.558813847,-10.96252939,0.558813847
OUT-F18,503,0.49563383,0.551257359,-11.22270629,0.551257359
OUT-F18,504,0.490277702,0.542743892,-10.70132086,0.542743892
OUT-F18,505,0.485462281,0.537920675,-10.80586403,0.537920675
OUT-F18,506,0.475728688,0.532847743,-12.00664506,0.532847743
OUT-F18,507,0.467365065,0.525203575,-12.37544573,0.525203575
OUT-F18,508,0.458745769,0.51891817,-13.11672065,0.51891817
OUT-F18,509,0.458986345,0.510171461,-11.15177315,0.510171461
OUT-F18,510,0.448598176,0.505394973,-12.66095139,0.505394973
OUT-F18,511,0.440414316,0.499804358,-13.48503894,0.499804358
OUT-F18,512,0.436259296,0.492851657,-12.97218455,0.492851657
OUT-F18,513,0.430671215,0.489179255,-13.58531473,0.489179255
OUT-F18,514,0.427988789,0.481454613,-12.49234218,0.481454613
OUT-F18,515,0.421703939,0.475863375,-12.84299979,0.475863375
OUT-F18,516,0.417040639,0.470399835,-12.79472335,0.470399835
OUT-F18,517,0.412550324,0.463992444,-12.46929575,0.463992444
OUT-F18,518,0.408348208,0.459279228,-12.47244851,0.459279228
